Month,IP Name,Number training partnerships/collaborations to be established
August,Soweto Basketball,6.0
September,Soweto Basketball,5.0
October,Soweto Basketball,8.0
November,Soweto Basketball,8.0
December,Soweto Basketball,7.0
January,Soweto Basketball,3.0
February,Soweto Basketball,5.0
March,Soweto Basketball,2.0
April,Soweto Basketball,13.0
May,Soweto Basketball,57.0
July,Phakamani Young Minds Academy,0.0
August,Phakamani Young Minds Academy,2.0
September,Phakamani Young Minds Academy,2.0
October,Phakamani Young Minds Academy,1.0
November,Phakamani Young Minds Academy,4.0
December,Phakamani Young Minds Academy,0.0
January,Phakamani Young Minds Academy,5.0
February,Phakamani Young Minds Academy,5.0
March,Phakamani Young Minds Academy,
April,Phakamani Young Minds Academy,
May,Phakamani Young Minds Academy,19.0
July,Imagine Scholar,
August,Imagine Scholar,
September,Imagine Scholar,
October,Imagine Scholar,
November,Imagine Scholar,
December,Imagine Scholar,
January,Imagine Scholar,
February,Imagine Scholar,
March,Imagine Scholar,
April,Imagine Scholar,
May,Imagine Scholar,0.0
July,Advanced Edukos,3.0
August,Advanced Edukos,6.0
September,Advanced Edukos,3.0
October,Advanced Edukos,7.0
November,Advanced Edukos,6.0
December,Advanced Edukos,3.0
January,Advanced Edukos,10.0
February,Advanced Edukos,13.0
March,Advanced Edukos,13.0
April,Advanced Edukos,11.0
May,Advanced Edukos,75.0
July,United Through Sport,
August,United Through Sport,
September,United Through Sport,
October,United Through Sport,
November,United Through Sport,
December,United Through Sport,
January,United Through Sport,
February,United Through Sport,
March,United Through Sport,
April,United Through Sport,
May,United Through Sport,0.0
July,Waumbe Youth Development,4.0
August,Waumbe Youth Development,10.0
September,Waumbe Youth Development,2.0
October,Waumbe Youth Development,1.0
November,Waumbe Youth Development,
December,Waumbe Youth Development,0.0
January,Waumbe Youth Development,10.0
February,Waumbe Youth Development,4.0
March,Waumbe Youth Development,4.0
April,Waumbe Youth Development,6.0
May,Waumbe Youth Development,41.0
July,Yakha Ikusasa Manje,
August,Yakha Ikusasa Manje,
September,Yakha Ikusasa Manje,
October,Yakha Ikusasa Manje,
November,Yakha Ikusasa Manje,
December,Yakha Ikusasa Manje,
January,Yakha Ikusasa Manje,
February,Yakha Ikusasa Manje,
March,Yakha Ikusasa Manje,
April,Yakha Ikusasa Manje,
May,Yakha Ikusasa Manje,0.0
July,Sozo Foundation,6.0
August,Sozo Foundation,3.0
September,Sozo Foundation,6.0
October,Sozo Foundation,9.0
November,Sozo Foundation,8.0
December,Sozo Foundation,1.0
January,Sozo Foundation,0.0
February,Sozo Foundation,2.0
March,Sozo Foundation,8.0
April,Sozo Foundation,2.0
May,Sozo Foundation,45.0
July,Social Innovation,
August,Social Innovation,
September,Social Innovation,
October,Social Innovation,
November,Social Innovation,1.0
December,Social Innovation,1.0
January,Social Innovation,1.0
February,Social Innovation,0.0
March,Social Innovation,0.0
April,Social Innovation,0.0
May,Social Innovation,3.0
July,Regenerative Neighbourhoods Development Agency,3.0
August,Regenerative Neighbourhoods Development Agency,3.0
September,Regenerative Neighbourhoods Development Agency,3.0
October,Regenerative Neighbourhoods Development Agency,3.0
November,Regenerative Neighbourhoods Development Agency,3.0
